H2AK01059|PURHAM, RANDY|C|2|REP|140|0|752.1|0|140|-472.1|0|0|0|0|0|0|140|AK|00||||||0|0|03/31/2021|0|0
H6AK00045|YOUNG, DONALD E|I|2|REP|129481.75|71078.52|51152.81|0|249173.19|327502.13|0|0|0|0|0|0|25998.61|AK|00||||||19500|0|03/31/2021|0|0
H8AK00140|GALVIN, ALYSE|C|3|IND|1188.48|1169.54|9599.58|0|96593.7|88182.6|0|0|0|0|0|0|0|AK|00||||||0|0|03/31/2021|0|0
H0AL01097|AVERHART, JAMES|O|1|DEM|0|0|1000|0|1121.71|121.71|0|0|0|0|0|29245|0|AL|01||||||0|0|03/31/2021|0|0
H0AL01055|CARL, JERRY LEE, JR|I|2|REP|118603.85|62158.23|89129.54|0|111972.59|141446.9|0|0|0|28797.29|0|462023.41|21945.62|AL|01||||||34500|0|03/31/2021|0|0
H0AL01063|LAMBERT, DOUGLAS WESTLEY III|O|2|REP|0|0|0|0|0|0|0|0|0|0|0|71611.13|0|AL|01||||||0|0|03/31/2021|0|0
H0AL02202|HARVEY-HALL, PHYLLIS|O|1|DEM|0|0|0|0|0|0|0|0|0|0|0|5666.91|0|AL|02||||||0|0|03/31/2021|0|0
H0AL02087|ROBY, MARTHA|I|2|REP|2500|0|47712.24|0|45212.24|0|0|0|0|0|0|0|0|AL|02||||||0|0|06/30/2021|0|0
H0AL02145|COLEMAN, JEFF|O|2|REP|0|0|0|0|0|0|0|0|0|0|0|0|0|AL|02||||||0|0|03/31/2021|0|0
H0AL02152|KING, TROY|O|2|REP|0|0|0|0|3028.21|3028.21|0|0|0|0|0|43313.84|0|AL|02||||||0|0|03/31/2021|0|0
H8AL02171|MOORE, FELIX BARRY|I|2|REP|97507.55|0|58999.41|0|-18560.95|19947.19|0|0|0|11500|0|0|64007.55|AL|02||||||33500|0|03/31/2021|0|0
H8AL03062|WINFREY, ADIA|C|1|DEM|0|0|23|0|28.31|5.31|0|0|0|0|0|0|0|AL|03||||||0|0|03/31/2021|0|0
H2AL03032|ROGERS, MICHAEL|I|2|REP|58832.55|0|196414.63|120015|502233.7|364651.62|0|0|0|0|0|0|29205.83|AL|03||||||28500|369.29|03/31/2021|0|0
H8AL04086|NEIGHBORS, RICKY|C|1|DEM|0|0|0|0|1034.1|1034.1|0|0|0|0|0|1800|0|AL|04||||||0|0|03/31/2021|0|0
H6AL04098|ADERHOLT, ROBERT B. REP.|I|2|REP|31928.95|0|65466.28|0|647004.39|613467.06|0|0|0|0|0|0|7336|AL|04||||||24500|0|03/31/2021|50|0
H0AL05163|BROOKS, MO|I|2|REP|274151.58|0|99348.19|0|1137501.18|1312304.57|0|0|0|0|0|0|268557.68|AL|05||||||5000|0|03/31/2021|0|0
H0AL05205|LEWIS, CHRIS|C|2|REP|0|0|109|0|1009.55|900.55|0|0|0|0|0|61834.83|0|AL|05||||||0|0|03/31/2021|0|0
H2AL05102|STRONG, DALE WHITNEY|C|2|REP|171588|0|33681.12|0|0|137906.88|0|40000|0|0|0|40000|128788|AL|05||||||2800|0|03/31/2021|5800|0
H4AL06098|PALMER, GARY|I|2|REP|244519.11|19008.11|125363.61|0|370687.86|489843.36|0|0|0|0|0|0|212511|AL|06||||||13000|0|03/31/2021|0|0
H0AL07086|SEWELL, TERRI A.|I|1|DEM|190950.28|0|97545.98|0|2243480.25|2336884.55|0|0|0|0|0|0|77249.93|AL|07||||||113700.35|0|03/31/2021|0|0
H0AR01109|CAUSEY, CHAD|O|1|DEM|15000|0|15000|0|181.59|181.59|0|15000|0|0|0|127037.3|0|AR|01||||||0|0|03/31/2021|0|0
H0AR01083|CRAWFORD, ERIC ALAN RICK|I|2|REP|48325|0|48672.33|0|182708.24|182360.91|0|0|0|0|0|0|34825|AR|01||||||13500|0|03/31/2021|0|0
H0AR01125|SMITH, PRINCELLA D|O|2|REP|0|0|0|0|4|4|0|0|0|0|0|0|0|AR|01||||||0|0|03/31/2021|0|0
H0AR02206|ELLIOTT, JOYCE ANN SENATOR|C|1|DEM|122114.7|0|129574.4|0|3729.85|0|0|0|0|0|0|0|0|AR|02||||||0|0|03/31/2021|138|0
H8AR02142|COMBS, GWENDOLYNN MILLEN MRS.|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|0|0|AR|02||||||0|0|02/01/2021|0|0
H4AR02141|HILL, JAMES FRENCH|I|2|REP|153624.52|71078.52|62581.22|0|410779.36|501822.66|0|0|0|0|0|0|32015|AR|02||||||50500|0|03/31/2021|0|0
H0AR03030|WHITAKER, DAVID JEFFREY|O|1|DEM|0|0|0|0|3367.43|3367.43|0|0|0|0|0|18457.09|0|AR|03||||||0|0|03/31/2021|0|0
H0AR03055|WOMACK, STEVE|I|2|REP|50580.88|0|44945.33|0|1363256.7|1368892.25|0|0|0|0|0|0|31506|AR|03||||||17000|0|03/31/2021|0|0
H2AR03143|HENDREN, JAMES PAUL|C|2|REP|0|0|0|0|93.61|93.61|0|0|0|0|0|450142.7|0|AR|03||||||0|0|03/31/2021|0|0
H0AR04087|HANSON, WILLIAM MR.|C|1|DEM|0|0|929.98|0|-1915.51|-2845.49|0|0|0|0|0|70100|0|AR|04||||||0|0|04/14/2021|0|0
H8AR04130|SHAMEL, HAYDEN CATHERINE|C|1|DEM|0|0|21|0|112.18|91.18|0|0|0|0|0|0|0|AR|04||||||0|0|01/13/2021|0|0
H2AR04083|COTTON, THOMAS|C|2|REP|396662.84|125017.33|289801.71|0|6396952.99|6503814.12|0|0|0|0|0|73959|271623.26|AR|04||||||0|0|03/31/2021|0|0
H4AR04048|WESTERMAN, BRUCE|I|2|REP|102043.97|0|84122.08|0|976806.01|994727.9|0|0|0|0|0|0|71621.5|AR|04||||||29500|0|03/31/2021|0|0
